Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),Training Time (s)
MLP,100.0,100.0,100.0,100.0,16.756410360336304
LR,94.42156862745098,94.91709311335225,94.42156862745098,94.12177858696985,41.45900559425354
QSVM,78.8529411764706,82.88062026492801,78.8529411764706,78.57306644069276,532.7035803794861
Random Forest,90.54575163398692,94.03011305299066,90.54575163398692,91.0283276957522,5.626179933547974
CatBoost,92.39542483660131,93.40467315522373,92.39542483660131,92.3643638375091,3.991901397705078
LightGBM,94.98366013071895,95.47121452141955,94.98366013071895,94.93448695885589,0.44373250007629395
